id | nombre
22.00 | Ingeniería de Requisitos
23.00 | Integración de las Tecnologías de la Información en las Organizaciones
24.00 | Modelado y Diseño del Software 1
25.00 | Multiprocesadores
26.00 | Seguridad y cumplimiento normativo
27.00 | Sistema de Información para las Organizaciones
28.00 | Tecnologías web
29.00 | Teoría de códigos y criptografía
30.00 | Administración de bases de datos
31.00 | Herramientas y Métodos de Ingeniería del Software
32.00 | Informática industrial y robótica
33.00 | Ingeniería de Sistemas de Información
34.00 | Modelado y Diseño del Software 2
35.00 | Negocio Electrónico
36.00 | Periféricos e interfaces
37.00 | Sistemas de tiempo real
38.00 | Tecnologías de acceso a red
39.00 | Tratamiento digital de imágenes
40.00 | Administración de redes y sistemas operativos
41.00 | Almacenes de Datos
42.00 | Fiabilidad y Gestión de Riesgos
43.00 | Líneas de Productos Software
44.00 | Procesos de Ingeniería del Software 1
45.00 | Tecnologías multimedia
46.00 | Análisis y planificación de las TI
47.00 | Desarrollo Rápido de Aplicaciones
48.00 | Gestión de la Calidad y de la Innovación Tecnológica
49.00 | Inteligencia del Negocio
50.00 | Procesos de Ingeniería del Software 2
51.00 | Seguridad Informática
52.00 | Biologia celular
53.00 | Física
54.00 | Matemáticas I
55.00 | Química general
56.00 | Química orgánica
57.00 | Biología vegetal y animal
58.00 | Bioquímica
59.00 | Genética
60.00 | Matemáticas II
61.00 | Microbiología
62.00 | Botánica agrícola
63.00 | Fisiología vegetal
64.00 | Genética molecular
65.00 | Ingeniería bioquímica
66.00 | Termodinámica y cinética química aplicada
67.00 | Biorreactores
68.00 | Biotecnología microbiana
69.00 | Ingeniería genética
70.00 | Inmunología
71.00 | Virología
72.00 | Bases moleculares del desarrollo vegetal
73.00 | Fisiología animal
74.00 | Metabolismo y biosíntesis de biomoléculas
75.00 | Operaciones de separación
76.00 | Patología molecular de plantas
77.00 | Técnicas instrumentales básicas
78.00 | Bioinformática
79.00 | Biotecnología de los productos hortofrutículas
80.00 | Biotecnología vegetal
81.00 | Genómica y proteómica
82.00 | Procesos biotecnológicos
83.00 | Técnicas instrumentales avanzadas
